,CategoryOfFundingActivity.Element:Text
"AR, BC, CD, DPR, ED, ELT, ENV, HL, HU, LJL, RD, ST",4
"ED, EN, ENV, RD",4
"AR, CD",4
"CD, ED, LJL",4
"AR, ED, EN, ENV, FN, IS, LJL, O",4
"HO, HU, LJL",4
"DPR, ENV, NR",4
"HU, NR",4
"CD, ELT, ENV, NR",4
"RA, ST",4
"AR, O",4
"EN, ENV, ST, T",4
"AG, ED, NR",4
"NR, T",4
"ENV, IIJ, NR, O",4
"CD, ENV, NR, ST",4
"AG, HL",3
"DPR, ED, ENV, FN, HL, HO, O",3
"O, RA",3
"AG, CD, ENV, NR",3
"BC, ED, ENV, ST",3
"ED, ENV, HU, NR",3
"ED, ENV, IS, ST",3
"CD, ED, ST",3
"ED, HU, NR",3
"CP, ED, FN, HL",3
"ED, HL, ISS, O",3
"AG, EN, ENV, NR, ST",3
"BC, CD, ELT",3
"AG, ED, FN, HL, RD, ST",3
"ED, NR, RD",3
"AR, ED, ENV, HU",3
"ENV, FN, HL, NR",3
"AG, ENV, NR, O",3
"CD, DPR, ED, ELT, ENV, FN, HL, O",3
"ELT, ENV, NR, ST",3
"CD, ED, ELT, HL, HU, LJL",3
"ED, ELT, HL, HO, OZ",3
"ED, ELT, EN",3
"ED, ELT, HU",3
"ENV, HU, NR",3
"ED, ENV, NR, RD, ST",3
"HL, HO",3
"ENV, IIJ, NR",3
"ED, ELT, HL, ISS",3
"HL, ISS, LJL",3
"CD, ED, LJL, O",3
"AR, ED, ENV",3
"DPR, IS",3
"CP, FN, HL, ST",3
"ED, ENV, HU",3
"LJL, NR",3
"CD, DPR, ED, ELT, ENV, FN, HL, HO, LJL, NR, RD",3
"EN, RA, ST",3
"AR, CD, ED, ELT, ENV, HL, HU, ST",3
"DPR, ED, ENV, HL, HO, O",3
"CD, ED, ELT, ENV, IS, NR, RD",3
"DPR, ST",3
"ED, ENV, FN, HL, IS, NR, RD, ST",3
"ENV, IS, NR, RD, ST",3
"ED, ENV, NR, T",3
"AR, BC, ED, HU",3
"CD, ED, HL",3
"AR, ED, ST",3
"ED, HU, ST",3
"BC, ENV",3
"HL, NR",3
"CD, ED, ELT, FN, HL, O, RD",3
"IS, LJL, ST",3
"BC, CD, ED, ELT, HL, RD",3
"ED, ENV, NR, O",3
"AG, CP, FN, HL",3
"AR, ED, O",3
"AG, NR, ST",3
"AR, BC, CD, ED, HU, IS, O, RD, ST",3
"CD, ELT, ENV",3
"BC, ED, ELT",3
"CD, LJL, O",3
"AG, CD, ED, ELT, ST",3
"AR, HU, O, ST",3
"ED, ELT, LJL",3
"AG, DPR, ENV, FN, HL, NR, ST",3
"ED, HL, LJL",3
"CD, ED, EN, ENV, HU, LJL, ST",3
"ELT, HL, HU, LJL",3
"ELT, HU, LJL, ST",3
"OZ, T",3
"HO, ST",3
"CD, ED, ELT, ENV, FN, HL, O, RD",3
"AG, EN, ENV, ST",2
"AR, ED, NR",2
"AG, NR, O",2
"CD, ENV, HL",2
"ED, ENV, HU, O",2
"BC, CD, ED, ELT, HL, IIJ, RD",2
"CD, ELT, EN, ENV, HL, HO, IIJ, T",2
"BC, ED, ST",2
"AR, CD, HO, HU, O, RD",2
"EN, ST, T",2
"AG, BC, CD, FN",2
"EN, ENV, OZ, ST, T",2
"AR, BC, CD, ED, ELT",2
"CD, EN, ENV, ST",2
"CD, ED, ELT, HU",2
"CD, HU",2
"AR, ED, ELT, ST",2
"BC, CD, ED, HU, RD",2
"AG, ENV, FN, NR",2
"ELT, LJL, ST",2
"CD, ELT, HU, IS, LJL",2
"AR, ED, ENV, HU, O",2
"CD, ED, ELT, ENV",2
"ED, ELT, HL, HU, IS",2
"IS, LJL",2
"AG, ED, ENV, FN, NR, RD, ST",2
"AG, CD, ED",2
"ELT, ISS, LJL",2
"ED, ELT, ENV, HU, NR",2
"AG, ED, ELT, ENV, NR",2
"AR, ED, ENV, HU, LJL, O",2
"AR, BC, CD, ED, HU, O, ST",2
"CD, ED, ELT, EN, FN, HL, O, RD",2
"AG, ED, FN, HL, ST",2
"ELT, RD",2
"BC, CD, ENV, NR, RD, ST",2
"HL, OZ",2
"AG, BC, CD, CP, DPR, ED, ELT, EN, ENV, FN, HL, NR, RD, ST",2
"AG, AR, CD, CP, DPR, ED, ELT, ENV, FN, HL, HO, LJL, NR, O, RD",2
"AG, ED, ELT, EN, ENV, O",2
"AR, CD, ED, ENV, IS, ISS, RD, ST",2
"AR, CD, ED, ELT, HU",2
"ED, ELT, HL, HU, LJL",2
"HU, IS, LJL",2
"EN, NR",2
"AG, BC, CD, CP, DPR, ED, ELT, EN, ENV, FN, HL, HO, IS, ISS, LJL, NR, RD, ST",2
"HL, IS, ST",2
"CD, ED, ELT, O",2
"AG, EN, ST",2
"AR, CD, ED, ELT, HU, RD",2
"AR, BC, ED, LJL, O",2
"AR, ED, HU, O",2
"AR, CD, ED, ENV, HU, O",2
"BC, CD, ED, ELT, HL",2
"HU, ST",2
"ENV, LJL, NR",2
"CD, HL",2
"FN, HL, IS, ST",2
"CD, DPR, ED, ENV, NR, RD, ST",2
"ED, HU, O, ST",2
"ELT, NR, ST",2
"AG, BC, CP, ED, ENV, FN, HL",2
"AG, AR, CD, DPR, ED, ELT, ENV, FN, HL, HO, LJL, NR, O, RD",2
"AG, CD, ELT, FN, RD",2
"BC, ELT, HL, O",2
"NR, O, ST",2
"EN, ENV, NR, RD",2
"AR, BC, CD, ED, ENV, HU, IS, O, RD, ST",2
"CD, ENV, NR, RD, T",2
"AG, DPR, ED, ELT, ENV, NR",2
"ED, FN, HL, ST",2
"AG, ENV, HL, NR",2
"AG, CP, ST",2
"AG, CP, FN, ST",2
"AR, CD, ED, ENV, HU, LJL",2
"DPR, O, RD",2
"ENV, HU",2
"AR, CD, ED, NR",2
"AR, CD, ED",2
"AG, BC, CD, EN, ENV, HU, LJL, NR, RD, ST",2
"ELT, LJL",2
"ELT, IS, LJL, ST",2
"ELT, O, RD, ST",2
"HU, IS, LJL, ST",2
"CD, ED, ENV, ST",2
"ENV, NR, T",2
"AR, NR",2
"ED, ENV, NR, O, ST",2
"ED, O, ST",2
"ED, HL, HO, HU, ISS, LJL",2
"CD, ED, HU, RD",2
"ED, ENV, IS, NR, RD, ST",2
"ENV, NR, O, ST",2
"BC, CD, IIJ, RD",2
"ELT, FN, HL",2
"CD, ED, HL, ISS, LJL",2
"ED, ISS",2
"ED, ELT, HL, HO, HU, ISS, LJL",2
"ED, HU, O",2
"ED, ENV, HU, IS, NR",2
"CD, HL, LJL",2
"BC, EN, ENV",2
"CD, ED, ELT, IS",2
"AG, CP, DPR, ED, ENV, FN, HL",2
"BC, CD, ELT, LJL",2
"ENV, LJL",2
"CD, ENV, HO",2
"CD, ED, LJL, RD",2
"AR, CD, ED, ENV, NR, T",2
"AG, FN, ST",2
"ELT, ENV",2
"AR, ED, HU, ST",2
"AG, BC, CD, ED, ELT, EN, ENV, FN, HL, NR, OZ, RD, ST, T",2
"AR, ED, HU, ISS",2
"ED, EN, NR, ST",2
