,CategoryOfFundingActivity.Element:Text
"ED, ELT, ENV, IS, O, ST",1
"BC, ELT, O, RD",1
"EN, ENV, O, RD, ST",1
"CD, DPR, ELT, HO",1
"CD, ED, ELT, HO, IS, O",1
"AG, CD, ED, O",1
"ED, HU, LJL, O",1
"IS, NR, O",1
"ED, ELT, EN, NR",1
"BC, EN",1
"ELT, HL, ISS",1
"CP, ED, HL, O, ST",1
"AG, CD, HO",1
"AG, AR, BC, CD, ED, ELT, ENV, FN, HL, HU, IS, ISS, LJL, ST",1
"AG, AR, BC, CD, CP, DPR, ED, ELT, ENV, FN, HL, HO, LJL, NR, O, RD",1
"AG, ED, ENV",1
"AG, ED, ELT, NR, ST",1
"CD, ED, ENV, RD, ST",1
"ENV, HU, ST",1
"CD, ELT, ENV, NR, RD",1
"CD, DPR, ELT, IS, LJL, ST",1
"EN, ENV, HL, ST",1
"DPR, LJL, O",1
"CD, HU, LJL, O",1
"CD, ED, ENV, LJL, NR, ST",1
"AG, BC, CD, ED, ELT, EN, ENV, HL, NR, RD, ST",1
"BC, CP, ED, ELT, IS, LJL, ST",1
"BC, CP, ELT, IS, LJL, ST",1
"CD, ELT, HU, IS, LJL, O, ST",1
"ELT, HL, HU, ST",1
"AR, ED, RD, ST",1
"CD, ED, ELT, HU, IS, LJL",1
"ELT, LJL, O",1
"AG, CD, EN, ENV, FN, NR, ST",1
"EN, O, T",1
"ENV, FN, NR, ST",1
"AG, ED, EN, ENV, FN, HL, NR, RD, ST, T",1
"ELT, HL, HU, IS, LJL, ST",1
"CD, ED, ELT, HU, IS, LJL, O",1
"ED, ELT, HU, LJL, O",1
"HU, NR, T",1
"BC, ED, ELT, ENV, HL, IS, NR, O, RD",1
"AG, CD, ENV, FN, NR",1
"AG, ED, ENV, FN, HL, NR, ST",1
"AR, IS",1
"CD, EN, ENV, HO, ST",1
"ED, ENV, IS",1
"CD, HU, IS",1
"FN, NR",1
"ED, ELT, HO, HU, ISS, LJL",1
"DPR, ED, ENV, IS, NR, ST",1
"CD, DPR, ED, ELT, FN, HL, HO, O",1
"AG, BC, CD, ED, ELT, ENV, IS, NR, RD, ST",1
"AR, BC, ED, HU, LJL, O, ST",1
"CD, ED, ENV, FN, HL, IS, NR, ST",1
"AR, CD, ED, ELT, EN, ENV, HU, ST",1
"ED, HO, IS, ST",1
"AR, ED, ENV, HL, HU, LJL",1
"IS, LJL, O, ST",1
"ED, HL, HU, IS, LJL",1
"AR, CD, ED, EN, ENV, HU",1
"ED, NR, O, ST",1
"ED, ENV, RD, ST",1
"AR, BC, CD, ED, EN, ENV, HU, IS, ST",1
"AG, BC, CD, ED, ENV, NR",1
"CP, ENV, FN, HL, IS, NR",1
"AG, CP, ENV, FN, HL, IS, NR, ST",1
"AG, BC, CP, DPR, FN, ST",1
"ED, FN, HL, NR, ST",1
"ED, ENV, HL, ST",1
"BC, CD, ED, ENV, LJL, NR, ST",1
"CD, ED, EN, ENV, ST",1
"ED, HL, LJL, O",1
"DPR, FN",1
"AG, BC, CP, ED, ELT, ENV, HL, RD, ST",1
"AG, BC, CD, CP, ELT, ENV, FN, HL, NR, RD, ST",1
"AG, ED, ENV, FN, NR, O, RD, ST",1
"ED, ELT, HL, HO, HU, LJL",1
"CD, ED, ELT, ENV, HL, RD, ST",1
"CD, ED, ISS, LJL",1
"BC, ED, ELT, EN, O, RD, ST",1
"BC, CD, ED, ELT, ENV, HU, RD",1
"FN, HL, ST",1
"CD, ELT, HU, IS, LJL, ST",1
"ENV, NR, RA",1
"AG, BC, CP, DPR, ED, ELT, ENV, FN, HL, NR, ST",1
"CD, DPR, ED, ELT, EN, ENV, HL, HO, NR, O",1
"AG, EN, ENV, IS, NR, ST",1
"AG, CP, DPR, ED, ELT, ENV, FN, HL, NR, ST",1
"DPR, ED, ELT, HU, IS, ST",1
"DPR, ED, ELT, HU",1
"AG, EN, NR, ST",1
"CP, ELT, HL, HU, IS, ST",1
"AR, ED, O, ST",1
"ELT, HU, IS",1
"ELT, HU, O",1
"ED, ELT, HL, HO",1
"ED, ELT, IS, LJL, ST",1
"AR, BC, CD, ED, EN, ENV, HL, HU, IS, O, ST",1
"CP, ED, ELT, HU, IS, LJL, ST",1
"DPR, ED, HU, IS, LJL, ST",1
"ENV, IS, NR, RA",1
"AG, BC, CD, DPR, ED, ELT, EN, ENV, FN, HL, ISS, LJL, NR, RD, ST",1
"ELT, HL, HU, IS",1
"EN, ENV, NR, RD, ST",1
"AG, BC, CD, DPR, ED, ELT, EN, ENV, FN, HL, HU, ISS, LJL, NR, RD, ST",1
"AG, BC, CD, DPR, ED, ELT, ENV, HL, HO, LJL",1
"CD, ED, NR, ST",1
"AG, ELT, ENV, NR",1
"CP, ED, ELT, HU, IS, ST",1
"ELT, IS",1
"CD, RD, ST",1
"ED, ELT, HL, HU",1
"ED, ELT, LJL, ST",1
"AR, ED, ENV, HU, NR",1
"AG, BC, CD, ELT, ENV, FN, ISS, NR",1
"HO, HU, IS, ISS, LJL, NR, O",1
"CD, ED, ELT, ENV, ST",1
"AG, BC, CD, CP, DPR, ED, ELT, EN, ENV, FN, HL, IS, ISS, LJL, NR, RD, ST",1
"CD, ED, ELT, HU, IS, LJL, ST",1
"CD, ELT, HU, IS, LJL, RD, ST",1
"IS, RD",1
"CD, ED, ENV, FN, HL, IS, NR, RD, ST",1
"CD, ED, HU, LJL",1
"BC, CD, ED, ELT, EN, ENV, HU, LJL, ST",1
"CD, ED, ENV, RD",1
"ED, RD, ST",1
"ED, IS, ST",1
"BC, CD, ED, RD",1
"AG, ELT, FN",1
"AG, ED, EN, ENV, FN, HL, NR, RD, ST",1
"AG, CD, ED, ELT, ENV",1
"ED, ELT, HL, HU, IS, LJL",1
"ED, NR, RA",1
"CD, DPR, HU, O",1
"CD, HO, HU",1
"ENV, HU, IS",1
"AG, ED, ELT, O",1
"DPR, ED, ENV",1
"CD, ENV, RA",1
"CD, ED, ELT, ENV, FN, HL, O, RD, ST",1
"BC, CD, CP, DPR, ED, ELT, EN, ENV",1
"BC, CD, HU, LJL",1
"BC, CD, ELT, RD",1
"AG, ED, ELT, FN, HL",1
"CD, CP, ED, IS, O, ST",1
"CD, ED, ELT, IS, O, ST",1
"BC, CP, ED, ELT, HL, HO, ST",1
"NR, RA",1
"HO, LJL, O",1
"CD, ED, EN, ENV, HL, HO, ISS, LJL, O, T",1
"AG, DPR, ED, EN, ENV, NR",1
"AR, BC, CD, DPR, ELT, EN",1
"AR, ED, ENV, O",1
"ED, EN, ENV, NR, ST",1
"AR, CD, ED, HL",1
"DPR, ED, ELT, ENV, FN, HL, HO, O",1
"CD, DPR, ED, ELT, EN, ENV, FN, HL, HO, LJL, NR, RA, RD, ST, T",1
"CD, ED, EN, ENV, HU, RD",1
"CD, ED, ISS, O, RD",1
"CP, ED, IS, O, ST",1
"ED, ELT, HU, ST",1
"ED, ELT, HU, LJL, ST",1
"CD, ED, ENV, HU, RD",1
"CD, ELT, ENV, HU, NR, RD",1
"CP, ED, ELT, HU, IS, LJL",1
"HL, HU, IS",1
"HL, HU, IS, ISS, LJL, ST",1
"AG, CD, ED, ENV, RD",1
"AG, BC, CD, DPR, ED, ELT, FN, HL, ISS, LJL, ST",1
"CD, DPR, ED, ELT, HU, IS, ST",1
"BC, RD",1
"AG, CD, ED, ELT, ENV, NR, ST",1
"AG, AR, BC, CD, CP, DPR, ED, ELT, EN, ENV, FN, HL, HU, IS, ISS, LJL, NR, O, RD, ST, T",1
"BC, CD, ED, ELT, EN, ENV, IS, RD, ST",1
"ED, ELT, ENV, OZ, RD, ST",1
"AR, BC, CD, ED, ELT, HL, HU, ST",1
"CD, ED, EN, ENV, NR, RD",1
"CD, CP, ED",1
"AR, CD, DPR, ED, ELT, HL, HU, IS, ISS, RD, ST",1
"CD, CP, ED, ELT, ENV, NR, RD, ST",1
"AR, CD, ED, HU, RD",1
"CD, ED, ELT, EN, ENV, NR, ST",1
"HL, HU",1
"ED, ELT, HU, IS, ST",1
"CD, OZ",1
"AR, BC, HU",1
"ED, O, OZ",1
"BC, FN, HL, ST",1
"AG, BC, CD, ED, ELT, ENV, FN, HO, IS, ISS, LJL, OZ, RD, ST",1
"AR, BC, HU, ST",1
"EN, ENV, NR, OZ, ST",1
"CD, ENV, NR, O",1
"BC, EN, ENV, NR",1
"HL, O, RA",1
"ELT, HO",1
"AG, DPR",1
"ED, ELT, HO, ISS",1
"CD, ED, ELT, ENV, RD",1
"AG, CD, ED, FN, NR, OZ",1
"AG, CD, ED, FN, OZ",1
"BC, CD, ELT, ENV, HL, LJL, RD",1
"CP, DPR, ED, ELT, ENV, HL, ST",1
"BC, CD, ENV, NR, RD, T",1
"BC, CD, DPR, ED, ELT, LJL",1
"ED, ELT, O, ST",1
"AG, EN, ENV, NR, O",1
"AG, ED, ELT, EN, ENV",1
"AG, CD, CP, ED, ELT, ENV, HL",1
"BC, CD, O, OZ, RD",1
"AG, ENV, FN, HL, HO, NR",1
"AG, BC, DPR, ED, ENV, NR",1
"CD, ED, HO, IS",1
"AG, IS, ST",1
"AG, CD, FN, HL",1
"AG, BC, ED, ELT, O",1
"AG, CP, DPR, ED, ELT, ENV, HL",1
"ED, ELT, ENV, O",1
"ED, EN, OZ, ST",1
"AR, CD, ED, ELT, O",1
"AR, ENV, ST",1
"CD, DPR, ST",1
"CD, ED, ELT, ENV, LJL, NR, ST",1
"EN, ENV, HO, OZ, ST",1
"AG, BC, CD, DPR, ED, ELT, FN",1
"AG, AR, BC, CD, EN, ENV, HL, HU, LJL, NR, ST",1
"HL, HO, OZ",1
"AR, CD, ED, HU, RD, ST",1
"AR, ED, HU, RD, ST",1
"CD, DPR, ED, ELT, ENV, NR, RD, T",1
"CD, ED, O, RD",1
"BC, CD, ED, ENV, HL, RD, ST",1
"AR, CD, ED, ELT",1
"AR, BC, CD, DPR, ED, ELT, EN, ENV, FN, HL, HU, LJL, RD, ST",1
"ED, ELT, ENV, HL, HU, LJL, ST",1
"BC, ED, ELT, O",1
"AR, BC, CD, ED, ENV, FN, HL, HU",1
"BC, ELT, O",1
"AG, ED, ENV, FN, NR, ST",1
"CD, ELT, EN, ENV, HL, HO, T",1
"AR, CD, DPR, ED, ELT, EN, ENV, HL, NR, ST",1
"CD, ED, EN, ENV, IS, NR, RD, ST",1
"AR, BC, CD, ED, ELT, ENV, HU, NR, ST",1
"CD, EN",1
"AR, HU, ST",1
"DPR, ED, EN, ENV, HL, HU, ST",1
"ED, ENV, HL, LJL, NR, RD",1
"AR, CD, ED, ELT, HL, HU, ISS, LJL",1
"AG, CD, DPR, ED, ENV, FN, NR, ST",1
"CD, CP, DPR, ED, ELT, FN, HL, HO, RD",1
"CD, ED, ENV, HU, ST",1
"ED, EN, NR",1
"CD, DPR, ELT, HL, HO",1
"AG, BC, CD, DPR, ED, ELT, EN, ENV, FN, HL, ISS, LJL, NR, RD",1
"CD, ED, ELT, IS, ST",1
"AR, BC, CD, ED",1
"AG, AR, BC, CD, ED, ENV, HU, O, ST",1
"AG, CP, DPR, ED, EN, ENV, FN, HL, NR, ST",1
"ISS, RA",1
"ED, ST, T",1
"CD, ED, ENV, HL, ST",1
"AG, AR, BC, CD, CP, ED, ELT, EN, ENV, O, ST",1
"AG, BC, CD, ELT, EN, ENV, FN, OZ, RD",1
"AG, BC, DPR, ED, EN, ENV, FN, HL, ISS, LJL, NR",1
"ED, EN, ENV",1
"AG, CP, ENV",1
"AG, DPR, ED, ELT, ENV, FN, HL, HO, NR",1
"AG, CP, DPR, ED, ENV, FN, HL, RD",1
"AG, CP, ED, ENV, FN, HL",1
"AG, CP, ENV, HL, ST",1
"LJL, O, ST",1
"ED, ELT, ENV, FN, HL",1
"CD, IS, LJL",1
"BC, ED, ELT, ENV, ST",1
"BC, NR, ST",1
"CD, DPR, EN, LJL",1
"AG, AR, BC, CD, ED, ELT, EN, ENV, FN, HL, HU, O, ST",1
"AG, BC, CD, DPR, ELT, HL, HO, LJL, RD",1
"BC, EN, NR",1
"CD, CP, ED, ELT, ENV, FN, HL",1
"AG, CD, CP, DPR, ENV",1
"AR, BC, CD, ENV, HL, O",1
"AR, BC, ST",1
"AR, CD, ED, ELT, RD",1
"BC, CD, ED, ELT, O, RD",1
"AR, CD, ED, ENV, HU, LJL, O, ST",1
"AR, CD, ED, ELT, ENV, HU, ISS, LJL, RD",1
"AR, CD, ED, ENV, HU, ST",1
"AG, BC, CD, ED, ELT, EN, ENV, IS, ST",1
"AR, CD, ED, ELT, FN, HL, HU, ISS, LJL, RD",1
"AR, ED, EN, ENV, HL, HU, NR, ST",1
"AG, BC, CD, DPR, ED, ELT, EN, ENV, FN, HL, HU, IS, LJL, NR, O, RD, ST",1
"AG, BC, CD, CP, DPR, ED, ELT, EN, ENV, FN, HL, HU, IS, NR, RD, ST, T",1
"CD, DPR, ED, EN, ENV, HU, O, RD, ST",1
"AG, BC, CD, CP, DPR, ED, ELT, EN, ENV, FN, HL, HU, ISS, LJL, NR, O, RD, ST",1
"AR, CD, ED, ELT, EN, ENV, ST",1
"BC, CD, ED, ELT, O",1
"BC, RD, ST",1
"ACA, AG, AR, BC, CD",1
"AR, ED, ELT, ENV, FN, HL, HU, NR",1
"CD, ELT, EN, ST, T",1
"DPR, ELT, ENV, NR, ST",1
"BC, O, RD",1
"AR, CD, DPR, ED, ENV, HL, RD",1
"AR, BC, CD, ED, ENV, HL, LJL, RD, ST",1
"ENV, HL, HO, ISS",1
"BC, CD, ED, ELT",1
"IIJ, T",1
"BC, FN",1
"AG, BC, EN, ENV, NR, ST",1
"CD, ELT, ENV, OZ",1
"BC, CD, ED, ENV, NR, ST",1
"EN, ENV, T",1
"CD, ED, ENV, LJL",1
"ED, ELT, HO",1
"ED, ELT, EN, IS, ST",1
"BC, CD, ED, ELT, LJL",1
"CD, NR, O",1
"AR, CD, HL, O",1
"CD, ED, ENV, HL, HU, NR",1
"ED, ELT, ENV, HU, LJL, ST",1
"BC, ED, HL, LJL, O",1
"ED, EN, ENV, HL",1
"ED, EN, ENV, HL, IS",1
"BC, EN, ST",1
"ELT, EN, ENV, O, ST",1
"AG, AR, BC, CD, ED, EN, ENV, FN, HL, HU, ST",1
"ENV, O, ST",1
"AR, BC, CD, ED, ENV, HL, HU, LJL, ST",1
"DPR, ENV, ST",1
"HU, LJL, ST",1
"CD, DPR, ELT, ENV, NR, ST",1
"ELT, NR, RD",1
"RD, T",1
"HL, HU, IS, LJL, O",1
"EN, ENV, NR, RD, T",1
"CD, ELT, LJL, RD",1
"CD, ED, ELT, HL, RD",1
"CD, ED, NR, RD",1
"BC, ED, ELT, O, ST",1
"AG, AR, BC, CD, CP, DPR, ED, ELT, EN, ENV, FN, HL, HO, HU, IS, ISS, LJL, NR, RA, RD, ST, T",1
"BC, CD, ED, ELT, EN, ENV, HL, HU, LJL, RD, ST, T",1
"BC, CD, ED, ELT, ISS, LJL, O, RD",1
"CD, ED, ELT, ISS, LJL, O",1
"ED, HL, ST",1
"ELT, HL, NR",1
"CD, DPR, ED, ELT, ENV, FN, HL, HO",1
"CP, IS, NR, ST",1
"AG, ENV, FN, HL, ST",1
"BC, DPR, O",1
"AG, RD",1
"DPR, ED, ENV, NR, RD, ST",1
"AG, AR, BC, CD, ED, ELT, ENV, HU, NR",1
"AG, CD, EN, ENV, FN, NR",1
"CD, ED, ELT, NR",1
"AG, CD, DPR, ED, ELT, EN, ENV, FN, HL, HO, HU, NR, RD, ST, T",1
"AG, BC, EN, FN, O",1
"AR, BC, CD, ED, EN, ENV, HU, RD, ST",1
"DPR, T",1
"HO, ISS",1
"BC, CP, FN, HL, ST",1
